id,nombre,cargo,fecha_ini,grupo_parlamentario,n_legislatura,periodo_ini,periodo_fin,escolaridad,pre_academica,curp,correo,numero,ext,camara_diputados,sistema_legislativa,t_administrativa,foto
1,MIGUEL ÁNGEL MONRAZ IBARRA,PRESIDENTE,14/08/2024,PAN,LXV,29/08/2021,31/08/2024,LICENCIATURA,DERECHO,N/A,miguel.monraz@diputados.gob.mx,5550360000,59864,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=323,SIL - Sistema de Información Legislativa-PopUp Legislador,"Director de Tianguis en el gobierno de Guadalajara, Jalisco.
Encargado Administrativo de la Policía Auxiliar del gobierno de Jalisco.
Coordinador Operativo de Inspección a Reglamentos y Espectáculos en el gobierno de Guadalajara, Jalisco.
Inspector de Mercados y Comercio en Espacios Abiertos en el gobierno de Guadalajara, Jalisco.
Oficial Mayor del gobierno de Guadalajara, Jalisco.
Diputado local en la LIX Legislatura del Congreso de Jalisco.
Diputado federal en la LX Legislatura. Secretario de la Comisión de Juventud y Deporte. Integrante de las comisiones de Gobernación; Especial de Reforma del Estado; y, del Comité de Estudios de Derecho e Investigaciones Parlamentarias.
Diputado local en la LVI Legislatura del Congreso de Jalisco.
Diputado local suplente en la LV Legislatura del Congreso de Jalisco (Sin toma de protesta).
Presidente del Comité Directivo Estatal del PAN en Jalisco.
Coordinador nacional de síndicos y regidores del PAN.
Delegado político del Comité Ejecutivo Nacional del PAN en Colima.",Integrantes/RyT/MIGUEL_ANGEL.jpg
2,SEBASTIÁN EBRARD LESTRADE,SECRETARIO,05/11/2024,MORENA,LXVI,29/08/2021,31/08/2027,LICENCIATURA,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,N/A,sebastian.ebrard@diputados.gob.mx,5550360000,61533,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=972,https://sil.gobernacion.gob.mx/Librerias/pp_PerfilLegislador.php?Referencia=9229029,Asesor,Integrantes/RyT/SEBASTIAN_EBRARD.jpg
3,ANAÍS MIRIAM BURGOS HERNÁNDEZ,SECRETARÍA,30/10/2024,MORENA,LXVI,29/08/2021,31/08/2027,LICENCIATURA,COMUNICACIÓN Y CULTURA,N/A,anais.burgos@diputados.gob.mx,5550360000,61460,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=157,https://sil.gobernacion.gob.mx/Librerias/pp_PerfilLegislador.php?Referencia=9228702,"Asesora Legislativa.
Asesora de la Dirección General del Sistema de Transporte Colectivo Metro.
Secretaria de Educación de la Ciudad de México.
Diputada local en la LXI Legislatura del Congreso del estado de México. Presidenta de la Comisión de Patrimonio Estatal y Municipal.
Diputada local en la LX Legislatura del Congreso del estado de México.
Diputada local en la LIX Legislatura del Congreso del estado de México.
Coordinadora distrital de Morena en promoción y defensa del voto.
Secretaria de jóvenes en el Primer Comité Ejecutivo Estatal de Morena.
Fundadora de Morena.",Integrantes/RyT/ANAIS_MIRIAM.jpg
4,KAREN YAITI CALCANEO CONSTANTINO,SECRETARÍA,05/11/2024,MORENA,LXVI,29/08/2021,31/08/2027,LICENCIATURA,INFORMATICA ,N/A,karen.calcaneo@diputados.gob.mx,5550360000,61822,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=393,https://sil.gobernacion.gob.mx/Librerias/pp_PerfilLegislador.php?Referencia=9228872,"Directora del Plantel 22 del Colegio de Bachilleres de Chiapas.
Coordinadora de Zona del Colegio de Bachilleres de Chiapas.
Secretaria general del Comité Ejecutivo Estatal de Morena en Chiapas.
Consejera estatal de Morena en Chiapas.
Candidata a diputación local.",Integrantes/RyT/KAREN_YAITI.jpg
5,CLAUDIA LETICIA GARFIAS ALCANTARA,SECRETARÍA,30/10/2024,MORENA,LXVI,29/08/2021,31/08/2027,LICENCIATURA,DERECHO,N/A,claudia.garfias@diputados.gob.mx,5550360000,61498,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=138,https://sil.gobernacion.gob.mx/Librerias/pp_PerfilLegislador.php?Referencia=9228664,"Regidora suplente.
Titular de la Procuraduría de la Defensa del Menor y la Familia del Sistema Municipal DIF en Chiconcuac, estado de México.
Asesora en sindicatura de Chiconcuac, estado de México.
Asesora de diputado local en la LVI Legislatura del Congreso del estado de México.
Laboró en la administración del mercado municipal de Chiconcuac, estado de México.
Titular del Área de Recursos Humanos de Acolman, estado de México.
Titular del Área de Ingresos de la Tesorería Municipal de Acolman, estado de México.
Coordinadora de promoción del voto, difusión y propaganda en el distrito 39 local de candidata a la gubernatura del estado de México.
Candidata a coordinadora distrital, delegados al congreso nacional y estatal y consejeros estatales de Morena.
Coordinadora de promoción del voto, difusión y propaganda en el distrito 05 federal, de precandidata a la presidencia de México.
Representante propietario del PRD ante el Consejo Distrital Electoral Local del IEEM, número XXXIX, del candidato a gobernador del estado de México.
Representante suplente del PRD ante el Consejo Distrital Electoral Federal 5 del INE del candidato a gobernador del estado de México.
Representante propietaria del PRD ante el IEEM en Acolman, estado de México.
Candidata a regidora de Acolman, estado de México.
Coordinadora general de asuntos electorales en la campaña municipal en Acolman, estado de México.
Presidenta del Comité Ejecutivo Municipal (CEM) del PRD en Acolman, estado de México.
Candidata a regidora de Acolman, estado de México.
Coordinadora de Campaña del PRD en elección de diputación local.
Delegada estatal del PRD en el estado de México.
Consejera nacional del PRD.
Presidenta del CEM del PRD en Acolman, estado de México.
Coordinadora de logística, perifoneo, brigadas y propaganda en la campaña para la presidencia municipal de Acolman, estado de México.
Integrante de las brigadas del sol en la campaña a gobernador en el estado de México.
Integrante del equipo de campaña para la elección para presidente municipal en Acolman, estado de México.
Integrante del PRD.
Integrante de Morena.",Integrantes/RyT/CLAUDIA_LETICIA.jpg
6,HECTOR ARMANDO CABADA ALVIDREZ,SECRETARIO,07/10/2021,MORENA,LXV,29/08/2021,31/08/2027,PREPARATORIA,N/A,N/A,hector.cabada@diputados.gob.mx,5550360000,61841,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=314,https://sil.gobernacion.gob.mx/Librerias/pp_PerfilLegislador.php?Referencia=9227736,"Presidente municipal de Ciudad Juárez, Chihuahua.",Integrantes/RyT/HECTOR_ARMANDO.jpg
7,ANA MIRIAM FERRÁEZ CENTENO,SECRETARÍA,30/10/2024,MORENA,LXVI,29/08/2021,31/08/2027,LICENCIATURA,DERECHO,N/A,ana.ferraez@diputados.gob.mx,5550360000,61474,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=281,https://sil.gobernacion.gob.mx/Librerias/pp_PerfilLegislador.php?Referencia=9228224,"Diputada local en la LXVI Legislatura del Congreso de Veracruz. Presidenta de la Comisión de Derechos de la Niñez, la Adolescencia y la Familia. Secretaria de la Comisión de Derechos Humanos y Atención a Grupos Vulnerables.
Diputada local en la LXV Legislatura del Congreso de Veracruz.",Integrantes/RyT/ANA_MIRIAM.jpg
8,MANUEL DE JESÚS BALDENEBRO ARREDONDO,SECRETARIO,N/A,MORENA,LXIV,29/08/2021,31/08/2027,LICENCIATURA,CIENCIAS DE LA SALUD,N/A,manuel.baldenebro@diputados.gob.mx,5550360000,67881,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=248,https://sil.gobernacion.gob.mx/Librerias/pp_PerfilLegislador.php?Referencia=9223870,"Presidente municipal de San Luís Rio Colorado, Sonora.
Cirujano del ISSSTESON.
Médico cirujano del IMSS.
Consejero propietario del PES ante el Consejo General del INE.
Secretario general de la Sección VII del SNTSS.
Candidato a la gubernatura de Sonora.
Presidente estatal del PES en Sonora.
Consejero político estatal del PRI.
Candidato a diputado federal.
Consejero político nacional del PRI.
Consejero político municipal del PRI.
Secretario de Conflictos de la Sección VII del SNTSS.
Presidente de la Comisión de Fomento a la Vivienda de la Sección VII del SNTSS.
Secretario general de la Delegación 5 del SNTSS.
Integrante de la Comisión de Seguridad e Higiene de la Delegación 5 del SNTSS.
Secretario general de la Delegación 5 del Sindicato Nacional de Trabajadores del Seguro Social (SNTSS).
Miembro activo de la Confederación Nacional de Organizaciones Populares",Integrantes/RyT/MANUEL_JESUS.jpg
9,ALEJANDRA CHEDRAUI PERALTA,INTEGRANTE,30/10/2024,MORENA,LXVI,29/08/2021,31/08/2027,LICENCIATURA,MERCADOTECNIA,N/A,alejandra.chedraui@diputados.gob.mx,5550360000,61372,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=330,http://www.sil.gobernacion.gob.mx/Librerias/pp_PerfilLegislador.php?Referencia=9229342,"Secretaria Técnica del Sistema Municipal de Protección Integral de Niñas, Niños y Adolescentes de Huixquilucan, estado de México.
Regidora de Huixquilucan, estado de México.
Integrante del Consejo Político Nacional y Estatal del PVEM.
Integrante del PVEM.",Integrantes/RyT/ALEJANDRA_CHEDRAUI.jpg
10,MARIA DEL ROSARIO VERA,SECRETARÍA,N/A,PAN,LXVI,29/08/2021,31/08/2027,N/A,N/A,N/A,maria.delrosario@diputados.gob.mx,5550360000,61629,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=775,https://sil.gobernacion.gob.mx/Librerias/pp_PerfilLegislador.php?Referencia=9228189,Sin datos disponibles ,Integrantes/RyT/MARIA_ROSARIO.jpg
